as_of,week,home,away,spread_line,home_moneyline,away_moneyline
2026-09-03,1,SEA,NE,3.5,-175.0,145.0
2026-09-03,1,LA,SF,3.5,-198.0,164.0
2026-09-03,1,CAR,CHI,-2.5,130.0,-155.0
2026-09-03,1,CIN,TB,3.5,-198.0,164.0
2026-09-03,1,DET,NO,7.0,-298.0,240.0
2026-09-03,1,HOU,BUF,-1.5,-102.0,-118.0
2026-09-03,1,IND,BAL,-3.5,145.0,-175.0
2026-09-03,1,JAX,CLE,7.5,-395.0,310.0
2026-09-03,1,PIT,ATL,3.5,-185.0,154.0
2026-09-03,1,TEN,NYJ,1.5,-130.0,110.0
2026-09-03,1,LAC,ARI,10.5,-550.0,410.0
2026-09-03,1,LV,MIA,3.5,-198.0,164.0
2026-09-03,1,MIN,GB,1.5,-118.0,-102.0
2026-09-03,1,PHI,WAS,5.5,-218.0,180.0
2026-09-03,1,NYG,DAL,-2.5,124.0,-148.0
2026-09-03,1,KC,DEN,3.0,-148.0,124.0
2026-09-03,2,BUF,DET,3.0,-162.0,136.0
2026-09-03,2,ATL,CAR,1.5,-125.0,105.0
2026-09-03,2,BAL,NO,7.5,-345.0,275.0
2026-09-03,2,CHI,MIN,3.5,-192.0,160.0
2026-09-03,2,HOU,CIN,2.5,-135.0,114.0
2026-09-03,2,NE,PIT,4.5,-218.0,180.0
2026-09-03,2,NYJ,GB,-5.5,200.0,-245.0
2026-09-03,2,TB,CLE,6.5,-285.0,230.0
2026-09-03,2,TEN,PHI,-4.5,180.0,-218.0
2026-09-03,2,DEN,JAX,3.0,-155.0,130.0
2026-09-03,2,LAC,LV,8.5,-360.0,285.0
2026-09-03,2,ARI,SEA,-10.0,400.0,-535.0
2026-09-03,2,DAL,WAS,4.5,-205.0,170.0
2026-09-03,2,SF,MIA,10.5,-675.0,490.0
2026-09-03,2,KC,IND,6.5,-325.0,260.0
2026-09-03,2,LA,NYG,8.5,-380.0,300.0
2026-09-03,3,GB,ATL,7.5,-375.0,295.0
2026-09-03,3,BUF,LAC,3.0,-162.0,136.0
2026-09-03,3,CLE,CAR,-1.5,105.0,-125.0
2026-09-03,3,DET,NYJ,9.5,-425.0,330.0
2026-09-03,3,IND,HOU,-1.5,105.0,-125.0
2026-09-03,3,JAX,NE,1.5,-118.0,-102.0
2026-09-03,3,MIA,KC,-7.5,340.0,-440.0
2026-09-03,3,NYG,TEN,3.0,-166.0,140.0
2026-09-03,3,PIT,CIN,-1.5,105.0,-125.0
2026-09-03,3,WAS,SEA,-3.5,154.0,-185.0
2026-09-03,3,SF,ARI,11.5,-675.0,490.0
2026-09-03,3,TB,MIN,1.5,-125.0,105.0
2026-09-03,3,DAL,BAL,-2.5,114.0,-135.0
2026-09-03,3,NO,LV,3.5,-192.0,160.0
2026-09-03,3,DEN,LA,-3.0,130.0,-155.0
2026-09-03,3,CHI,PHI,1.5,-118.0,-102.0
2026-09-03,4,CLE,PIT,-2.5,114.0,-135.0
2026-09-03,4,WAS,IND,1.5,-118.0,-102.0
2026-09-03,4,BAL,TEN,8.5,-395.0,310.0
2026-09-03,4,BUF,NE,3.0,-166.0,140.0
2026-09-03,4,CHI,NYJ,8.5,-425.0,330.0
2026-09-03,4,CIN,JAX,2.5,-135.0,114.0
2026-09-03,4,HOU,DAL,2.5,-135.0,114.0
2026-09-03,4,NYG,ARI,7.0,-325.0,260.0
2026-09-03,4,PHI,LA,-1.5,105.0,-125.0
2026-09-03,4,TB,GB,-1.5,105.0,-125.0
2026-09-03,4,MIN,MIA,7.5,-410.0,320.0
2026-09-03,4,LV,KC,-5.5,205.0,-250.0
2026-09-03,4,SEA,LAC,3.0,-175.0,145.0
2026-09-03,4,SF,DEN,2.5,-142.0,120.0
2026-09-03,4,CAR,DET,-3.0,136.0,-162.0
2026-09-03,4,NO,ATL,2.5,-135.0,114.0
2026-09-03,5,DAL,TB,3.5,-205.0,170.0
2026-09-03,5,JAX,PHI,-1.5,105.0,-125.0
2026-09-03,5,MIA,CIN,-6.0,225.0,-278.0
2026-09-03,5,NE,LV,8.5,-395.0,310.0
2026-09-03,5,NO,MIN,-1.5,105.0,-125.0
2026-09-03,5,NYJ,CLE,1.5,-130.0,110.0
2026-09-03,5,PIT,IND,2.5,-135.0,114.0
2026-09-03,5,TEN,HOU,-3.5,154.0,-185.0
2026-09-03,5,WAS,NYG,1.5,-130.0,110.0
2026-09-03,5,LAC,DEN,2.5,-135.0,114.0
2026-09-03,5,ARI,DET,-8.5,300.0,-380.0
2026-09-03,5,GB,CHI,3.0,-166.0,140.0
2026-09-03,5,SEA,SF,3.5,-205.0,170.0
2026-09-03,5,ATL,BAL,-4.5,170.0,-205.0
2026-09-03,5,LA,BUF,3.0,-166.0,140.0
2026-09-03,6,DEN,SEA,-2.5,110.0,-130.0
2026-09-03,6,JAX,HOU,1.5,-112.0,-108.0
2026-09-03,6,ATL,CHI,-3.0,130.0,-155.0
2026-09-03,6,CLE,BAL,-6.5,205.0,-250.0
2026-09-03,6,IND,TEN,3.5,-192.0,160.0
2026-09-03,6,NE,NYJ,9.5,-455.0,350.0
2026-09-03,6,NYG,NO,2.5,-142.0,120.0
2026-09-03,6,PHI,CAR,6.5,-278.0,225.0
2026-09-03,6,TB,PIT,1.5,-125.0,105.0
2026-09-03,6,LA,ARI,13.5,-800.0,550.0
2026-09-03,6,KC,LAC,2.5,-142.0,120.0
2026-09-03,6,LV,BUF,-6.5,215.0,-265.0
2026-09-03,6,GB,DAL,3.0,-166.0,140.0
2026-09-03,6,SF,WAS,5.5,-250.0,205.0
2026-09-03,7,CHI,NE,1.5,-125.0,105.0
2026-09-03,7,NO,PIT,-2.5,120.0,-142.0
2026-09-03,7,ATL,SF,-4.5,180.0,-218.0
2026-09-03,7,BAL,CIN,3.5,-185.0,154.0
2026-09-03,7,CAR,TB,-1.5,105.0,-125.0
2026-09-03,7,HOU,NYG,5.5,-238.0,195.0
2026-09-03,7,MIN,IND,2.5,-142.0,120.0
2026-09-03,9,ATL,CIN,-4.5,180.0,-215.0
2026-09-03,10,DET,NE,-1.5,100.0,-118.0
